username,created_at,updated_at,in_blacklist,user_count,id
sdsdsd,2021-01-16,2021-01-16,f,,1
sdsds,2021-01-16,2021-01-16,f,,2
"sdsds

TestManagerBotWindr, [16 янв. 2021 г., 20:52:56]:
Бот Запущен",2021-01-16,2021-01-16,f,,3
sdsdsdd,2021-01-16,2021-01-16,f,,4
sdsdsdddddd,2021-01-16,2021-01-16,f,,5
test3,2021-01-16,2021-01-16,f,,8
test1,2021-01-16,2021-01-16,t,,6
test2,2021-01-16,2021-01-16,t,,7
test5,2021-01-17,2021-01-17,t,2,9
test51,2021-01-08,2021-01-17,t,2,10
test52,2021-01-17,2021-01-17,t,1,11
